Sl. No.,State/UT,2019,2020,2021,2022,2023 (Provisional)
1,Jharkhand,2528944,1306435,1737320,2269888,2760242
2,Andaman and Nicobar Islands,1700499,593906,762027,1144625,1377570
3,Andhra Pradesh,5131349,2332992,3187505,4376960,5217284
4,Arunachal Pradesh,908,498,8645,39903,176511
5,Assam,7030391,3351921,4439268,6090649,7355995
6,Bihar,4546787,2916912,3881239,4405024,4427041
7,Chandigarh,2181754,1275807,2343791,3302468,3582231
8,Chhattisgarh,2151543,1111895,1547213,2191230,2541111
9,Daman and Diu,18547,15201,24376,38160,43741
10,Delhi,52005839,23057691,32002443,46144544,53747065
11,Goa,7960888,2894682,5163784,7536171,10749541
12,Gujarat,13362629,5625094,7362540,10626463,13702118
13,Haryana,NA,NA,391,NA,NA
14,Himachal Pradesh,182314,99569,152145,199548,239418
15,Jammu and Kashmir,4976520,2676853,5075556,6908841,6658240
16,Karnataka,30922310,13579866,16714104,26415320,34857303
17,Kerala,8795279,3137472,3694096,6434286,8749095
18,Lakshadweep,28268,7915,17690,40629,38610
19,Madhya Pradesh,4786938,1980173,2744657,4217518,5441077
20,Maharashtra,47649625,18278987,23260495,40379571,51922405
21,Manipur,1288137,519252,782670,1080796,1227606
22,Meghalaya,22606,9301,43763,102390,147029
23,Mizoram,163420,106611,148190,304641,379218
24,Nagaland,185565,105308,197366,270518,308742
25,Odisha,4041623,2001736,2461390,3510146,4733892
26,Pondicherry,72583,18199,NA,62758,51969
27,Punjab,1825544,808289,1057407,1625497,2026547
28,Rajasthan,6867237,3228839,4436524,6130364,7694116
29,Sikkim,14464,NA,39656,36946,10227
30,Tamil Nadu,21467639,8449474,10018674,15816522,19552208
31,Telangana,20318085,9138021,11007480,15990734,20221765
32,Tripura,1389589,669437,893084,1278068,1414089
33,Uttar Pradesh,9076385,5102556,5928682,8069121,10240056
34,Uttarakhand,1351043,667564,978224,1593615,1714645
35,West Bengal,23427260,10648240,13377763,17850114,20772353
Total,Total,287472512,125716696,165490158,246484028,304081060
